Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
schadenfreude,"Magoosh GRE 1000 Words: (noun): joy from watching the suffering of others From his warm apartment window, Stanley reveled in schadenfreude as he laughed at the figures below, huddled together in the arctic chill.",Magoosh GRE 1000 Words,,,,"(noun): joy from watching the suffering of others From his warm apartment window, Stanley reveled in schadenfreude as he laughed at the figures below, huddled together in the arctic chill.",,magoosh-gre-1000-words_oct01.pdf
schism,GregMat Vocab: a split or separation within a group or organization | Barron's 1100 - First 20 Weeks: split | Kaplan 900 + High Frequency GRE: Split (within religious body),GregMat Vocab; Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE,a split or separation within a group or organization,split,Split (within religious body),,,GregMat Vocab.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
scintillate,"Kaplan 900 + High Frequency GRE: to sparkle, to gleam, to be animated or brilliant | WordSmart I Complete 850 Words: Pronunciation: SIN-tih-layt; English: to sparkle, either literally or figuratively; Bengali: ঝকমক করা / ছমিায উজ্জ্বল হওযা; Example: Her performance scintillated the audience.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"to sparkle, to gleam, to be animated or brilliant",,"Pronunciation: SIN-tih-layt; English: to sparkle, either literally or figuratively; Bengali: ঝকমক করা / ছমিায উজ্জ্বল হওযা; Example: Her performance scintillated the audience.",WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
scintillating,"GregMat Vocab: brilliantly or impressively clever, exciting, amusing or witty | Magoosh GRE 1000 Words: (adjective): describes someone who is brilliant and lively Richard Feynman was renowned for his scintillating lectures--the arcana of quantum physics was made lucid as he wrote animatedly on the chalkboard.",GregMat Vocab; Magoosh GRE 1000 Words,"brilliantly or impressively clever, exciting, amusing or witty",,,(adjective): describes someone who is brilliant and lively Richard Feynman was renowned for his scintillating lectures--the arcana of quantum physics was made lucid as he wrote animatedly on the chalkboard.,,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
sciolism,Kaplan 900 + High Frequency GRE: superficial knowledge,Kaplan 900 + High Frequency GRE,,,superficial knowledge,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
scion,Barron's 1100 - First 20 Weeks: descendant,Barron's 1100 - First 20 Weeks,,descendant,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
scoff,Barron's 1100 - First 20 Weeks: to mock,Barron's 1100 - First 20 Weeks,,to mock,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
scofflaw,Kaplan 900 + High Frequency GRE: one who is continually breaking the law,Kaplan 900 + High Frequency GRE,,,one who is continually breaking the law,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
scorn,GregMat Vocab: 1. express strong disapproval or contempt for 2. a feeling or display of contempt or disdain,GregMat Vocab,1. express strong disapproval or contempt for 2. a feeling or display of contempt or disdain,,,,,GregMat Vocab.pdf
scotch,Kaplan 900 + High Frequency GRE: to put an end to,Kaplan 900 + High Frequency GRE,,,to put an end to,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
screed,"Magoosh GRE 1000 Words: (noun): an abusive rant (often tedious) Joey had difficulty hanging out with his former best friend Perry, who, during his entire cup of coffee, enumerated all of the government's deficiencies--only to break ranks and launch into some screed against big business.",Magoosh GRE 1000 Words,,,,"(noun): an abusive rant (often tedious) Joey had difficulty hanging out with his former best friend Perry, who, during his entire cup of coffee, enumerated all of the government's deficiencies--only to break ranks and launch into some screed against big business.",,magoosh-gre-1000-words_oct01.pdf
scrupulous,"GregMat Vocab: 1. careful with details 2. possessing moral integrity | Magoosh GRE 1000 Words: (adjective): characterized by extreme care and great effort Because of his scrupulous nature, Mary put him in charge of numbering and cataloging the entire collection of rare stamps. ; (adjective): having a sense of right and wrong; principled Everyone trusted what he said and followed his example because he was scrupulous and honest. | WordSmart I Complete 850 Words: Pronunciation: SKROO-pyuh- lus; English: hesitant for ethical reasons; Bengali: বনষ্ঠািান / বিনিকিান; Example: He was scrupulous in following the rules.",GregMat Vocab; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,1. careful with details 2. possessing moral integrity,,,"(adjective): characterized by extreme care and great effort Because of his scrupulous nature, Mary put him in charge of numbering and cataloging the entire collection of rare stamps. ; (adjective): having a sense of right and wrong; principled Everyone trusted what he said and followed his example because he was scrupulous and honest.",Pronunciation: SKROO-pyuh- lus; English: hesitant for ethical reasons; Bengali: বনষ্ঠািান / বিনিকিান; Example: He was scrupulous in following the rules.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
scrutinize,Barron's 1100 - First 20 Weeks: examine closely | WordSmart I Complete 850 Words: Pronunciation: SKROO-tih-nyz; English: to examine very carefully; Bengali: ঘবনষ্ঠভানি পরীকা্ষ করা; Example: The auditor scrutinized every financial record.,Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,,examine closely,,,Pronunciation: SKROO-tih-nyz; English: to examine very carefully; Bengali: ঘবনষ্ঠভানি পরীকা্ষ করা; Example: The auditor scrutinized every financial record.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
scurrilous,"Barron's 1100 - First 20 Weeks: vulgar, using indecent language",Barron's 1100 - First 20 Weeks,,"vulgar, using indecent language",,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
scurry,Barron's 1100 - First 20 Weeks: run quickly,Barron's 1100 - First 20 Weeks,,run quickly,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
secrete,"Kaplan 900 + High Frequency GRE: to give off, to conceal",Kaplan 900 + High Frequency GRE,,,"to give off, to conceal",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
secular,"Kaplan 900 + High Frequency GRE: Denoting attitudes, or other things which have no religious basis | WordSmart I Complete 850 Words: Pronunciation: SEK-yuh-ler; English: having nothing to do with religion or spiritual concerns; Bengali: িমবনেরনপক্ষ / পাবরি্ে; Example: Bangladesh has a secular constitution.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"Denoting attitudes, or other things which have no religious basis",,Pronunciation: SEK-yuh-ler; English: having nothing to do with religion or spiritual concerns; Bengali: িমবনেরনপক্ষ / পাবরি্ে; Example: Bangladesh has a secular constitution.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
sedentary,Barron's 1100 - First 20 Weeks: largely inactive,Barron's 1100 - First 20 Weeks,,largely inactive,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
sedition,Kaplan 900 + High Frequency GRE: Resistance to authority | WordSmart I Complete 850 Words: Pronunciation: sih-DISH-un; English: promoting public disorder or rebellion; Bengali: রাষ্ট্রবিনরািী উসকাবন / বিনদ্রানহর প্রনরাচনা; Example: He was arrested for sedition.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,Resistance to authority,,Pronunciation: sih-DISH-un; English: promoting public disorder or rebellion; Bengali: রাষ্ট্রবিনরািী উসকাবন / বিনদ্রানহর প্রনরাচনা; Example: He was arrested for sedition.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
sedulous,"GregMat Vocab: paying attention to details; diligent | Kaplan 900 + High Frequency GRE: Showing great care, paying attention | Magoosh GRE 1000 Words: (adjective): done diligently and carefully An avid numismatist, Harold sedulously amassed a collection of coins from over 100 countries--an endeavor that took over fifteen years, and to five continents.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,paying attention to details; diligent,,"Showing great care, paying attention","(adjective): done diligently and carefully An avid numismatist, Harold sedulously amassed a collection of coins from over 100 countries--an endeavor that took over fifteen years, and to five continents.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
self-effacing,"Magoosh GRE 1000 Words: (adjective): reluctant to draw attention to yourself The most admirable teachers and respected leaders are those who are self-effacing, directing attention and praise to their students and workers.",Magoosh GRE 1000 Words,,,,"(adjective): reluctant to draw attention to yourself The most admirable teachers and respected leaders are those who are self-effacing, directing attention and praise to their students and workers.",,magoosh-gre-1000-words_oct01.pdf
semblance,"Magoosh GRE 1000 Words: (noun): an outward or token appearance or form that is deliberately misleading While the banker maintained a semblance of respectability in public, those who knew him well were familiar with his many crimes.",Magoosh GRE 1000 Words,,,,"(noun): an outward or token appearance or form that is deliberately misleading While the banker maintained a semblance of respectability in public, those who knew him well were familiar with his many crimes.",,magoosh-gre-1000-words_oct01.pdf
senescence,Kaplan 900 + High Frequency GRE: beginning of old age,Kaplan 900 + High Frequency GRE,,,beginning of old age,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
sensational,"GregMat Vocab: exaggerated for effect, often sacrificing accuracy",GregMat Vocab,"exaggerated for effect, often sacrificing accuracy",,,,,GregMat Vocab.pdf
sensory,WordSmart I Complete 850 Words: Pronunciation: SEN-suh-ree; English: having to do with the senses or sensation; Bengali: ইত্ত্বিযসংক্রান্ত; Example: The film offered a rich sensory experience.,WordSmart I Complete 850 Words,,,,,Pronunciation: SEN-suh-ree; English: having to do with the senses or sensation; Bengali: ইত্ত্বিযসংক্রান্ত; Example: The film offered a rich sensory experience.,WordSmart1_Complete_850Words.pdf
sententious,"Kaplan 900 + High Frequency GRE: preachy, pompous, using wise sayings excessively | Magoosh GRE 1000 Words: (adjective): to be moralizing, usually in a pompous sense The old man, casting his nose up in the air at the group of adolescents, intoned sententiously, ""Youth is wasted on the young.""",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,,"preachy, pompous, using wise sayings excessively","(adjective): to be moralizing, usually in a pompous sense The old man, casting his nose up in the air at the group of adolescents, intoned sententiously, ""Youth is wasted on the young.""",,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
sentient,WordSmart I Complete 850 Words: Pronunciation: SEN-shunt; English: conscious; Bengali: ছচতনাসম্পন্ন / অনুভূবতশীল; Example: Humans are sentient beings capable of emotion.,WordSmart I Complete 850 Words,,,,,Pronunciation: SEN-shunt; English: conscious; Bengali: ছচতনাসম্পন্ন / অনুভূবতশীল; Example: Humans are sentient beings capable of emotion.,WordSmart1_Complete_850Words.pdf
sentimental,"GregMat Vocab: characterized by feelings or nostalgia | Magoosh GRE 1000 Words: (adjective): effusively or insincerely emotional, especially in art, music, and literature I don't like romanticism for the same reason I don't like melodramatic acting and soap operas--overly sentimental.",GregMat Vocab; Magoosh GRE 1000 Words,characterized by feelings or nostalgia,,,"(adjective): effusively or insincerely emotional, especially in art, music, and literature I don't like romanticism for the same reason I don't like melodramatic acting and soap operas--overly sentimental.",,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
